percent_metric,study_cluster,study,year,n_subjects,metric,mean,sd,level,n_male,age,age_sd,vo2max,vo2max_sd,hrmax,hrmax_sd,Notes
pct_vo2max,Smith 2001,Smith 2001,2001,8,CS,89,4,recreational,8,28,5,54.9,3.2,NA,NA,
pct_vo2max,Smith 2001,Smith 2001,2001,8,MLSS,86,4,recreational,8,28,5,54.9,3.2,NA,NA,
pct_vo2max,Smith 2001,Smith 2001,2001,8,LT2,84,3,recreational,8,28,5,54.9,3.2,NA,NA,
pct_vo2max,Stoa 2020,Stoa 2020 (recreational),2020,34,LT2,84.8,3.9,recreational,NA,NA,NA,56.1,6.2,NA,NA,National level group
pct_vo2max,Stoa 2020,Stoa 2020 (national),2020,29,LT2,82.4,4,highly trained,NA,NA,NA,67.8,6.2,NA,NA,
pct_vo2max,Stoa 2020,Stoa 2020 (elite),2020,12,LT2,83.1,4.1,elite,NA,NA,NA,71.2,8.3,NA,NA,
pct_vo2max,Maldonado-Martin 2004,Maldonado-Martin 2004 (MEN),2004,17,LT1,81.7,3.9,highly trained,17,28,5,69.3,3.5,186,7,
pct_vo2max,Maldonado-Martin 2004,Maldonado-Martin 2004 (WOMEN),2004,11,LT1,86.4,4.6,highly trained,0,24,4,60.7,4.7,192,8,
pct_vo2max,Maldonado-Martin 2004,Maldonado-Martin 2004 (MEN),2004,17,LT2,86.3,3.3,highly trained,17,28,5,69.3,3.5,186,7,
pct_vo2max,Maldonado-Martin 2004,Maldonado-Martin 2004 (WOMEN),2004,11,LT2,91.1,3.2,highly trained,0,24,4,60.7,4.7,192,8,
pct_vo2max,Helgerud 1990,Helgerud 1990 (MEN),1990,6,LT2,83.2,4.41,trained,6,28,2.69,59.5,1.22,197,8.57,Used one percent treadmill grade for VO2max
pct_vo2max,Helgerud 1990,Helgerud 1990 (WOMEN),1990,6,LT2,83.6,2.2,trained,0,24,1.47,58.8,1.71,199,6.86,
pct_vo2max,Storen 2008,Storen 2008 (intervention),2008,8,LT2,83,4,trained,4,28.6,10.1,61.4,5.1,NA,NA,Used pre-intervention data
pct_vo2max,Storen 2008,Storen 2008 (control),2008,9,LT2,85,4,trained,4,29.7,7,56.8,8.2,NA,NA,
pct_vo2max,McGehee 2005,McGehee 2005,2005,27,LT1,85,5.2,trained,24,33.2,13,56.6,6.8,NA,NA,
pct_vo2max,McGehee 2005,McGehee 2005,2005,27,LT2,90,5.2,trained,24,33.2,13,56.6,6.8,NA,NA,
pct_vo2max,Haverty 1988,Haverty 1988,1988,11,MLSS,78.6,6.7,recreational,11,22.4,3.6,57.2,4.6,NA,NA,Paper said recreational
pct_vo2max,Haverty 1988,Haverty 1988,1988,11,LT1,73,7.3,recreational,11,22.4,3.6,57.2,4.6,NA,NA,
pct_vo2max,Tanaka 1984,Tanaka 1984,1984,12,LT1,75.5,2.9,highly trained,12,21.6,NA,73.1,5.2,NA,NA,Nationally competitive Japanese runners
pct_vo2max,Tanaka 1984,Tanaka 1984,1984,12,LT2,89.6,4.4,highly trained,12,21.6,NA,73.1,5.2,NA,NA,Nationally competitive Japanese runners
pct_vo2max,Jones 2021,Jones 2021,2021,16,LT1,83,5,elite,16,29,4,71,5.7,190,11,Breaking2 study lol
pct_vo2max,Jones 2021,Jones 2021,2021,16,LT2,92,3,elite,16,29,4,71,5.7,190,11,
pct_vo2max,Fleckenstein 2023,Fleckenstein 2023,2023,15,LT1,78.99,2.07,trained,10,18.6,3.3,59.3,5.9,201,10,
pct_vo2max,Weltman 1990,Weltman 1990,1990,31,LT1,84.23,7.222,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_vo2max,Weltman 1990,Weltman 1990,1990,31,LT2,92.49,5.456,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_vo2max,Quittmann 2023,Quittmann 2023 (MEN),2023,29,LT2,85,4.9,trained,29,24.2,3.4,63.2,4.5,187,9,Inclusion criteria was 5k of 22min (female) or 20 min (male)
pct_vo2max,Quittmann 2023,Quittmann 2023 (WOMEN),2023,15,LT2,87.6,6,trained,0,27.1,4.7,55.4,3.9,186,13,
pct_vo2max,Santos-Concejero 2013,Santos-Concejero 2013 (trained),2013,11,LT2,84.4,9.6,trained,11,39.9,5.8,59.4,7.2,180.6,11.2,
pct_vo2max,Santos-Concejero 2013,Santos-Concejero 2013 (well-trained),2013,12,LT2,90,7.2,highly trained,12,28.4,6.8,63.2,4.3,186.7,5.8,
pct_vo2max,Denis 2021,Denis 2021,2021,19,LT1,76.88,5.68,recreational,15,45.2,8.3,50.7,5.1,173.84,12.76,"Says they are ""trained recreational"""
pct_hrmax,Llodio 2016,Llodio 2016,2016,20,MLSS,92.6,2.7,highly trained,20,30.7,6.3,NA,NA,189,6,HM times of 71 to 94
pct_hrmax,Crezeuela-Espejo et al 2018,Crezeuela-Espejo et al 2018,2018,22,VT1,79,4.5,trained,22,25.9,8,60.2,4.3,NA,NA,
pct_hrmax,Crezeuela-Espejo et al 2018,Crezeuela-Espejo et al 2018,2018,22,MLSS,86,2.3,trained,22,25.9,8,60.2,4.3,NA,NA,
pct_hrmax,Helgerud 1990,Helgerud 1990 (MEN),1990,6,LT2,87.9,1.47,trained,6,28,2.69,59.5,1.22,197,8.57,
pct_hrmax,Helgerud 1990,Helgerud 1990 (WOMEN),1990,6,LT2,89.7,1.71,trained,0,24,1.47,58.8,1.71,199,6.86,
pct_hrmax,Garcia-Tabar 2018,Garcia-Tabar 2018,2018,13,LT1,76,4,trained,13,28,7,67.6,4.1,184,9,
pct_hrmax,Garcia-Tabar 2018,Garcia-Tabar 2018,2018,13,MLSS,91,4,trained,13,28,7,67.6,4.1,184,9,
pct_hrmax,Garcia-Tabar 2018,Garcia-Tabar 2018,2018,13,LT2,90,3,trained,13,28,7,67.6,4.1,184,9,
pct_hrmax,McGehee 2005,McGehee 2005,2005,27,LT1,89,5.2,trained,24,33.2,13,56.6,6.8,NA,NA,
pct_hrmax,McGehee 2005,McGehee 2005,2005,27,LT2,92,5.2,trained,24,33.2,13,56.6,6.8,NA,NA,
pct_hrmax,Jones 2021,Jones 2021,2021,16,LT1,92,3,elite,16,29,4,71,5.7,190,11,
pct_hrmax,Jones 2021,Jones 2021,2021,16,LT2,94,2,elite,16,29,4,71,5.7,190,11,
pct_hrmax,Weltman 1990,Weltman 1990,1990,31,LT1,88.63,4.192,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_hrmax,Weltman 1990,Weltman 1990,1990,31,LT2,94.75,5.379,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_hrmax,Quittmann 2023,Quittmann 2023 (MEN),2023,29,LT2,93.1,2.8,trained,29,24.2,3.4,63.2,4.5,187,9,Inclusion criteria was 5k of 22min (female) or 20 min (male)
